scenario,fixed_share_assumption,model,stage,date,actual_revenue_gbp_blended,predicted_revenue_gbp_blended,revenue_error_gbp,abs_revenue_error_gbp
main_extended,0.8,ExtraTrees,validation,2023-04-01,3521.1322051512834,3339.2627395211894,-181.86946563009406,181.86946563009406
main_extended,0.8,ExtraTrees,validation,2023-05-01,3422.3844948339693,3160.6772099768345,-261.7072848571347,261.7072848571347
main_extended,0.8,ExtraTrees,validation,2023-06-01,3014.634117705152,3023.2240668182494,8.589949113097191,8.589949113097191
main_extended,0.8,ExtraTrees,validation,2023-07-01,3283.544701628524,2839.578897324842,-443.96580430368203,443.96580430368203
main_extended,0.8,ExtraTrees,validation,2023-08-01,3222.1006192578975,2862.779060392004,-359.3215588658936,359.3215588658936
main_extended,0.8,ExtraTrees,validation,2023-09-01,3116.0048958834236,2689.8291515588026,-426.17574432462106,426.17574432462106
main_extended,0.8,ExtraTrees,validation,2023-10-01,3071.5216883068247,2478.698260988829,-592.8234273179955,592.8234273179955
main_extended,0.8,ExtraTrees,validation,2023-11-01,2538.7696563458585,2262.947545527631,-275.82211081822743,275.82211081822743
main_extended,0.8,ExtraTrees,validation,2023-12-01,2624.235216890835,2138.978417259833,-485.2567996310022,485.2567996310022
main_extended,0.8,Ridge,test,2024-01-01,2965.1582906314657,3078.3597372653726,113.20144663390693,113.20144663390693
main_extended,0.8,Ridge,test,2024-02-01,2760.507131410437,3096.541425399274,336.0342939888369,336.0342939888369
main_extended,0.8,Ridge,test,2024-03-01,2807.1739068778566,3565.3189557791666,758.14504890131,758.14504890131
main_extended,0.8,Ridge,test,2024-04-01,3228.4446665910073,3335.2372601974484,106.79259360644119,106.79259360644119
main_extended,0.8,Ridge,test,2024-05-01,3155.231976952035,3261.881064811373,106.64908785933812,106.64908785933812
main_extended,0.8,Ridge,test,2024-06-01,3374.494171512661,3472.2889296719113,97.79475815925025,97.79475815925025
main_extended,0.8,Ridge,test,2024-07-01,3554.5620739464284,3773.707041828859,219.1449678824306,219.1449678824306
main_extended,0.8,Ridge,test,2024-08-01,3657.6576846785015,3768.8080894163513,111.15040473784984,111.15040473784984
main_extended,0.8,Ridge,test,2024-09-01,3325.975857792512,3403.057801070354,77.08194327784167,77.08194327784167
main_extended,0.8,Ridge,test,2024-10-01,3254.677139036622,3432.8401069424617,178.16296790583965,178.16296790583965
main_extended,0.8,Ridge,test,2024-11-01,2342.6704924176015,3047.81378394683,705.1432915292285,705.1432915292285
main_extended,0.8,Ridge,test,2024-12-01,2570.4518230614913,2977.4460650827396,406.9942420212483,406.9942420212483
main_extended,0.8,Ridge,validation,2023-01-01,3156.6309540305083,2816.1012904083154,-340.52966362219286,340.52966362219286
main_extended,0.8,Ridge,validation,2023-02-01,3097.1085437312404,3194.7686654208296,97.66012168958923,97.66012168958923
main_extended,0.8,Ridge,validation,2023-03-01,3539.268800683049,3778.8452096096958,239.57640892664676,239.57640892664676
main_extended,0.8,Ridge,validation,2023-04-01,3521.1322051512834,4066.784409561606,545.6522044103226,545.6522044103226
main_extended,0.8,Ridge,validation,2023-05-01,3422.3844948339693,3907.9439748883406,485.5594800543713,485.5594800543713
main_extended,0.8,Ridge,validation,2023-06-01,3014.634117705152,3493.7749009443496,479.1407832391974,479.1407832391974
main_extended,0.8,Ridge,validation,2023-07-01,3283.544701628524,3650.6674511088095,367.1227494802856,367.1227494802856
main_extended,0.8,Ridge,validation,2023-08-01,3222.1006192578975,3567.469852545547,345.3692332876494,345.3692332876494
main_extended,0.8,Ridge,validation,2023-09-01,3116.0048958834236,3021.68272995399,-94.3221659294336,94.3221659294336
main_extended,0.8,Ridge,validation,2023-10-01,3071.5216883068247,2827.4002391193208,-244.1214491875039,244.1214491875039
main_extended,0.8,Ridge,validation,2023-11-01,2538.7696563458585,2557.720758445917,18.951102100058506,18.951102100058506
main_extended,0.8,Ridge,validation,2023-12-01,2624.235216890835,2264.4772772692963,-359.75793962153875,359.75793962153875
main_extended,0.8,XGBoost,test,2024-01-01,2965.1582906314657,3497.231899427403,532.0736087959372,532.0736087959372
main_extended,0.8,XGBoost,test,2024-02-01,2760.507131410437,3446.763941881537,686.2568104710999,686.2568104710999
main_extended,0.8,XGBoost,test,2024-03-01,2807.1739068778566,3236.043194703013,428.86928782515633,428.86928782515633
main_extended,0.8,XGBoost,test,2024-04-01,3228.4446665910073,3167.406788525753,-61.03787806525406,61.03787806525406
main_extended,0.8,XGBoost,test,2024-05-01,3155.231976952035,3412.8799714609013,257.6479945088663,257.6479945088663
main_extended,0.8,XGBoost,test,2024-06-01,3374.494171512661,3509.923264070403,135.42909255774202,135.42909255774202
main_extended,0.8,XGBoost,test,2024-07-01,3554.5620739464284,3841.268180913392,286.7061069669635,286.7061069669635
main_extended,0.8,XGBoost,test,2024-08-01,3657.6576846785015,3663.88049838995,6.2228137114484525,6.2228137114484525
main_extended,0.8,XGBoost,test,2024-09-01,3325.975857792512,3313.3177337711213,-12.658124021390904,12.658124021390904
main_extended,0.8,XGBoost,test,2024-10-01,3254.677139036622,3571.867966017981,317.1908269813589,317.1908269813589
main_extended,0.8,XGBoost,test,2024-11-01,2342.6704924176015,3359.020687246827,1016.3501948292255,1016.3501948292255
main_extended,0.8,XGBoost,test,2024-12-01,2570.4518230614913,3312.0826900518714,741.6308669903801,741.6308669903801
main_extended,0.8,XGBoost,validation,2023-01-01,3156.6309540305083,2880.7993839327205,-275.8315700977878,275.8315700977878
main_extended,0.8,XGBoost,validation,2023-02-01,3097.1085437312404,2958.7124013175667,-138.39614241367372,138.39614241367372
main_extended,0.8,XGBoost,validation,2023-03-01,3539.268800683049,3312.5052428721506,-226.76355781089842,226.76355781089842
main_extended,0.8,XGBoost,validation,2023-04-01,3521.1322051512834,3487.574830624046,-33.55737452723724,33.55737452723724
main_extended,0.8,XGBoost,validation,2023-05-01,3422.3844948339693,3418.4122098776866,-3.9722849562826923,3.9722849562826923
main_extended,0.8,XGBoost,validation,2023-06-01,3014.634117705152,3308.657949886647,294.023832181495,294.023832181495
main_extended,0.8,XGBoost,validation,2023-07-01,3283.544701628524,3120.141361555481,-163.40334007304273,163.40334007304273
main_extended,0.8,XGBoost,validation,2023-08-01,3222.1006192578975,3034.4068535173014,-187.69376574059606,187.69376574059606
main_extended,0.8,XGBoost,validation,2023-09-01,3116.0048958834236,2822.419333740378,-293.58556214304554,293.58556214304554
main_extended,0.8,XGBoost,validation,2023-10-01,3071.5216883068247,2434.7796170304614,-636.7420712763633,636.7420712763633
main_extended,0.8,XGBoost,validation,2023-11-01,2538.7696563458585,2461.715780487021,-77.05387585883727,77.05387585883727
main_extended,0.8,XGBoost,validation,2023-12-01,2624.235216890835,2108.7966800693157,-515.4385368215194,515.4385368215194
main_extended,0.9,Baseline_AssetMonthSeasonal,test,2024-01-01,3024.7131851001054,3645.94017941367,621.2269943135648,621.2269943135648
main_extended,0.9,Baseline_AssetMonthSeasonal,test,2024-02-01,2845.398592577748,3208.128726818251,362.73013424050305,362.73013424050305
main_extended,0.9,Baseline_AssetMonthSeasonal,test,2024-03-01,2862.8323412659324,3511.1901385401466,648.3577972742141,648.3577972742141
main_extended,0.9,Baseline_AssetMonthSeasonal,test,2024-04-01,3335.702738573963,3006.383864664307,-329.31887390965585,329.31887390965585
main_extended,0.9,Baseline_AssetMonthSeasonal,test,2024-05-01,3156.0143376319156,3249.7572467380487,93.74290910613308,93.74290910613308
main_extended,0.9,Baseline_AssetMonthSeasonal,test,2024-06-01,3385.3747916298125,2953.3627855762943,-432.01200605351823,432.01200605351823
main_extended,0.9,Baseline_AssetMonthSeasonal,test,2024-07-01,3563.0609374554992,3598.174879450594,35.11394199509459,35.11394199509459
main_extended,0.9,Baseline_AssetMonthSeasonal,test,2024-08-01,3725.673425210064,3326.89007266886,-398.7833525412043,398.7833525412043
main_extended,0.9,Baseline_AssetMonthSeasonal,test,2024-09-01,3291.129951032427,3248.2123100473527,-42.917640985074286,42.917640985074286
main_extended,0.9,Baseline_AssetMonthSeasonal,test,2024-10-01,3195.178357324487,3624.52779516515,429.3494378406631,429.3494378406631
main_extended,0.9,Baseline_AssetMonthSeasonal,test,2024-11-01,2262.2030284486414,3071.691485452149,809.4884570035078,809.4884570035078
main_extended,0.9,Baseline_AssetMonthSeasonal,test,2024-12-01,2514.695343535093,3423.992485432626,909.297141897533,909.297141897533
main_extended,0.9,Baseline_AssetMonthSeasonal,validation,2023-01-01,3156.6309540305083,3153.8618284123277,-2.769125618180624,2.769125618180624
main_extended,0.9,Baseline_AssetMonthSeasonal,validation,2023-02-01,3091.809662106697,3209.889136690786,118.07947458408898,118.07947458408898
main_extended,0.9,Baseline_AssetMonthSeasonal,validation,2023-03-01,3566.763681371131,3604.2509247646108,37.48724339347973,37.48724339347973
main_extended,0.9,Baseline_AssetMonthSeasonal,validation,2023-04-01,3586.5570921979906,3726.922275604203,140.3651834062125,140.3651834062125
main_extended,0.9,Baseline_AssetMonthSeasonal,validation,2023-05-01,3531.7442312060552,3766.8165049180748,235.07227371201952,235.07227371201952
main_extended,0.9,Baseline_AssetMonthSeasonal,validation,2023-06-01,3078.8736846353195,3510.056484764609,431.1828001292897,431.1828001292897
main_extended,0.9,Baseline_AssetMonthSeasonal,validation,2023-07-01,3401.502805080048,3335.4483820126648,-66.05442306738314,66.05442306738314
main_extended,0.9,Baseline_AssetMonthSeasonal,validation,2023-08-01,3285.298088370389,3275.3106691031817,-9.987419267207315,9.987419267207315
main_extended,0.9,Baseline_AssetMonthSeasonal,validation,2023-09-01,3165.6950946229263,2806.61073190829,-359.0843627146364,359.0843627146364
main_extended,0.9,Baseline_AssetMonthSeasonal,validation,2023-10-01,3106.0797227489625,2836.6482994098747,-269.4314233390878,269.4314233390878
main_extended,0.9,Baseline_AssetMonthSeasonal,validation,2023-11-01,2552.899381848526,2048.7883927631797,-504.1109890853463,504.1109890853463
main_extended,0.9,Baseline_AssetMonthSeasonal,validation,2023-12-01,2705.0564354111907,2050.3683510386695,-654.6880843725212,654.6880843725212
main_extended,0.9,ElasticNet,test,2024-01-01,3024.7131851001054,3199.9882130969336,175.27502799682816,175.27502799682816
main_extended,0.9,ElasticNet,test,2024-02-01,2845.398592577748,3054.5247348107396,209.1261422329917,209.1261422329917
main_extended,0.9,ElasticNet,test,2024-03-01,2862.8323412659324,3077.278591996811,214.44625073087855,214.44625073087855
main_extended,0.9,ElasticNet,test,2024-04-01,3335.702738573963,3053.5955684657474,-282.10717010821554,282.10717010821554
main_extended,0.9,ElasticNet,test,2024-05-01,3156.0143376319156,3276.7987911763967,120.78445354448104,120.78445354448104
main_extended,0.9,ElasticNet,test,2024-06-01,3385.3747916298125,3295.863201683381,-89.51158994643174,89.51158994643174
main_extended,0.9,ElasticNet,test,2024-07-01,3563.0609374554992,3704.347288885192,141.2863514296928,141.2863514296928
main_extended,0.9,ElasticNet,test,2024-08-01,3725.673425210064,3574.764561670653,-150.90886353941096,150.90886353941096
main_extended,0.9,ElasticNet,test,2024-09-01,3291.129951032427,3229.4828029200617,-61.64714811236536,61.64714811236536
main_extended,0.9,ElasticNet,test,2024-10-01,3195.178357324487,3335.129391628052,139.95103430356494,139.95103430356494
main_extended,0.9,ElasticNet,test,2024-11-01,2262.2030284486414,3061.2629897864276,799.0599613377863,799.0599613377863
main_extended,0.9,ElasticNet,test,2024-12-01,2514.695343535093,3245.973372714123,731.27802917903,731.27802917903
main_extended,0.9,ElasticNet,validation,2023-01-01,3156.6309540305083,2755.405329415565,-401.2256246149432,401.2256246149432
main_extended,0.9,ElasticNet,validation,2023-02-01,3091.809662106697,2861.8871131205005,-229.9225489861965,229.9225489861965
main_extended,0.9,ElasticNet,validation,2023-03-01,3566.763681371131,3182.6188572111696,-384.14482415996144,384.14482415996144
main_extended,0.9,ElasticNet,validation,2023-04-01,3586.5570921979906,3554.296081038496,-32.2610111594945,32.2610111594945
main_extended,0.9,ElasticNet,validation,2023-05-01,3531.7442312060552,3664.76499235297,133.02076114691454,133.02076114691454
main_extended,0.9,ElasticNet,validation,2023-06-01,3078.8736846353195,3490.8595292988216,411.9858446635021,411.9858446635021
main_extended,0.9,ElasticNet,validation,2023-07-01,3401.502805080048,3433.6180032236293,32.11519814358144,32.11519814358144
main_extended,0.9,ElasticNet,validation,2023-08-01,3285.298088370389,3158.8420076244697,-126.45608074591928,126.45608074591928
main_extended,0.9,ElasticNet,validation,2023-09-01,3165.6950946229263,2682.262180058025,-483.43291456490124,483.43291456490124
main_extended,0.9,ElasticNet,validation,2023-10-01,3106.0797227489625,2341.9727239214044,-764.1069988275581,764.1069988275581
main_extended,0.9,ElasticNet,validation,2023-11-01,2552.899381848526,2041.5197377365917,-511.37964411193434,511.37964411193434
main_extended,0.9,ElasticNet,validation,2023-12-01,2705.0564354111907,2025.7168176652299,-679.3396177459608,679.3396177459608
main_extended,0.9,ExtraTrees,test,2024-01-01,3024.7131851001054,3207.3618806052277,182.6486955051223,182.6486955051223
main_extended,0.9,ExtraTrees,test,2024-02-01,2845.398592577748,3144.7064739949456,299.3078814171977,299.3078814171977
main_extended,0.9,ExtraTrees,test,2024-03-01,2862.8323412659324,3132.3702468499714,269.537905584039,269.537905584039
main_extended,0.9,ExtraTrees,test,2024-04-01,3335.702738573963,3132.90489478232,-202.79784379164312,202.79784379164312
main_extended,0.9,ExtraTrees,test,2024-05-01,3156.0143376319156,3334.478434992317,178.4640973604014,178.4640973604014
main_extended,0.9,ExtraTrees,test,2024-06-01,3385.3747916298125,3356.9999511679985,-28.374840461814074,28.374840461814074
main_extended,0.9,ExtraTrees,test,2024-07-01,3563.0609374554992,3673.7441669321506,110.68322947665138,110.68322947665138
main_extended,0.9,ExtraTrees,test,2024-08-01,3725.673425210064,3502.900393164268,-222.7730320457963,222.7730320457963
main_extended,0.9,ExtraTrees,test,2024-09-01,3291.129951032427,3214.671029853215,-76.45892117921221,76.45892117921221
main_extended,0.9,ExtraTrees,test,2024-10-01,3195.178357324487,3154.0124756209257,-41.165881703561354,41.165881703561354
main_extended,0.9,ExtraTrees,test,2024-11-01,2262.2030284486414,2758.9180583147036,496.7150298660622,496.7150298660622
main_extended,0.9,ExtraTrees,test,2024-12-01,2514.695343535093,2747.462296583929,232.76695304883606,232.76695304883606
main_extended,0.9,ExtraTrees,validation,2023-01-01,3156.6309540305083,2805.959741504485,-350.6712125260233,350.6712125260233
main_extended,0.9,ExtraTrees,validation,2023-02-01,3091.809662106697,2978.756426956364,-113.05323515033297,113.05323515033297
main_extended,0.9,ExtraTrees,validation,2023-03-01,3566.763681371131,3065.161827128062,-501.60185424306883,501.60185424306883
main_extended,0.9,ExtraTrees,validation,2023-04-01,3586.5570921979906,3401.3083756472165,-185.24871655077413,185.24871655077413
main_extended,0.9,ExtraTrees,validation,2023-05-01,3531.7442312060552,3261.6742858349335,-270.0699453711218,270.0699453711218
main_extended,0.9,ExtraTrees,validation,2023-06-01,3078.8736846353195,3087.646679049913,8.77299441459354,8.77299441459354
main_extended,0.9,ExtraTrees,validation,2023-07-01,3401.502805080048,2941.5879673287573,-459.91483775129063,459.91483775129063
main_extended,0.9,ExtraTrees,validation,2023-08-01,3285.298088370389,2918.9288870497076,-366.36920132068144,366.36920132068144
main_extended,0.9,ExtraTrees,validation,2023-09-01,3165.6950946229263,2732.7232257282117,-432.9718688947146,432.9718688947146
main_extended,0.9,ExtraTrees,validation,2023-10-01,3106.0797227489625,2506.5863726700914,-599.4933500788711,599.4933500788711
main_extended,0.9,ExtraTrees,validation,2023-11-01,2552.899381848526,2275.5421610199487,-277.3572208285773,277.3572208285773
main_extended,0.9,ExtraTrees,validation,2023-12-01,2705.0564354111907,2204.8546927396287,-500.201742671562,500.201742671562
main_extended,0.9,Ridge,test,2024-01-01,3024.7131851001054,3140.188270962407,115.47508586230151,115.47508586230151
main_extended,0.9,Ridge,test,2024-02-01,2845.398592577748,3191.766655276852,346.36806269910403,346.36806269910403
main_extended,0.9,Ridge,test,2024-03-01,2862.8323412659324,3636.0092933769197,773.1769521109873,773.1769521109873
main_extended,0.9,Ridge,test,2024-04-01,3335.702738573963,3446.043284484131,110.3405459101682,110.3405459101682
main_extended,0.9,Ridge,test,2024-05-01,3156.0143376319156,3262.689869839402,106.67553220748641,106.67553220748641
main_extended,0.9,Ridge,test,2024-06-01,3385.3747916298125,3483.4848763413984,98.11008471158584,98.11008471158584
main_extended,0.9,Ridge,test,2024-07-01,3563.0609374554992,3782.7298751356116,219.66893768011232,219.66893768011232
main_extended,0.9,Ridge,test,2024-08-01,3725.673425210064,3838.8907202204227,113.21729501035861,113.21729501035861
main_extended,0.9,Ridge,test,2024-09-01,3291.129951032427,3367.4043147236484,76.27436369122142,76.27436369122142
main_extended,0.9,Ridge,test,2024-10-01,3195.178357324487,3370.0843264302084,174.9059691057214,174.9059691057214
main_extended,0.9,Ridge,test,2024-11-01,2262.2030284486414,2943.1256314142274,680.9226029655861,680.9226029655861
main_extended,0.9,Ridge,test,2024-12-01,2514.695343535093,2912.8613453539665,398.1660018188736,398.1660018188736
main_extended,0.9,Ridge,validation,2023-01-01,3156.6309540305083,2816.1012904083154,-340.52966362219286,340.52966362219286
main_extended,0.9,Ridge,validation,2023-02-01,3091.809662106697,3189.3026958763876,97.49303376969056,97.49303376969056
main_extended,0.9,Ridge,validation,2023-03-01,3566.763681371131,3808.2012444372554,241.4375630661243,241.4375630661243
main_extended,0.9,Ridge,validation,2023-04-01,3586.5570921979906,4142.347863342077,555.7907711440866,555.7907711440866
main_extended,0.9,Ridge,validation,2023-05-01,3531.7442312060552,4032.819401216324,501.0751700102687,501.0751700102687
main_extended,0.9,Ridge,validation,2023-06-01,3078.8736846353195,3568.224594613644,489.3509099783246,489.3509099783246
main_extended,0.9,Ridge,validation,2023-07-01,3401.502805080048,3781.8140770863483,380.31127200630044,380.31127200630044
main_extended,0.9,Ridge,validation,2023-08-01,3285.298088370389,3637.4413067169307,352.14321834654174,352.14321834654174
main_extended,0.9,Ridge,validation,2023-09-01,3165.6950946229263,3069.868795251095,-95.82629937183128,95.82629937183128
main_extended,0.9,Ridge,validation,2023-10-01,3106.0797227489625,2859.211635801679,-246.86808694728325,246.86808694728325
main_extended,0.9,Ridge,validation,2023-11-01,2552.899381848526,2571.955957822505,19.056575973978852,19.056575973978852
main_extended,0.9,Ridge,validation,2023-12-01,2705.0564354111907,2334.2186677066215,-370.83776770456916,370.83776770456916
main_extended,0.9,XGBoost,test,2024-01-01,3024.7131851001054,3567.473436737846,542.7602516377406,542.7602516377406
main_extended,0.9,XGBoost,test,2024-02-01,2845.398592577748,3552.7592584651334,707.3606658873855,707.3606658873855
main_extended,0.9,XGBoost,test,2024-03-01,2862.8323412659324,3300.2049117195693,437.37257045363685,437.37257045363685
main_extended,0.9,XGBoost,test,2024-04-01,3335.702738573963,3272.637009392982,-63.06572918098118,63.06572918098118
main_extended,0.9,XGBoost,test,2024-05-01,3156.0143376319156,3413.7262176685745,257.71188003665884,257.71188003665884
main_extended,0.9,XGBoost,test,2024-06-01,3385.3747916298125,3521.2405577848517,135.86576615503918,135.86576615503918
main_extended,0.9,XGBoost,test,2024-07-01,3563.0609374554992,3850.4525511092606,287.3916136537614,287.3916136537614
main_extended,0.9,XGBoost,test,2024-08-01,3725.673425210064,3732.011954857574,6.3385296475098585,6.3385296475098585
main_extended,0.9,XGBoost,test,2024-09-01,3291.129951032427,3278.604444873663,-12.525506158764074,12.525506158764074
main_extended,0.9,XGBoost,test,2024-10-01,3195.178357324487,3506.570615978039,311.39225865355183,311.39225865355183
main_extended,0.9,XGBoost,test,2024-11-01,2262.2030284486414,3243.6430116424835,981.4399831938422,981.4399831938422
main_extended,0.9,XGBoost,test,2024-12-01,2514.695343535093,3240.239261966273,725.5439184311799,725.5439184311799
main_extended,0.9,XGBoost,validation,2023-01-01,3156.6309540305083,2880.7993839327205,-275.8315700977878,275.8315700977878
main_extended,0.9,XGBoost,validation,2023-02-01,3091.809662106697,2953.6503033787058,-138.15935872799128,138.15935872799128
main_extended,0.9,XGBoost,validation,2023-03-01,3566.763681371131,3338.238506311717,-228.52517505941387,228.52517505941387
main_extended,0.9,XGBoost,validation,2023-04-01,3586.5570921979906,3552.376200202475,-34.180891995515594,34.180891995515594
main_extended,0.9,XGBoost,validation,2023-05-01,3531.7442312060552,3527.6450148555155,-4.099216350539791,4.099216350539791
main_extended,0.9,XGBoost,validation,2023-06-01,3078.8736846353195,3379.162941710521,300.2892570752015,300.2892570752015
main_extended,0.9,XGBoost,validation,2023-07-01,3401.502805080048,3232.229361248984,-169.27344383106401,169.27344383106401
main_extended,0.9,XGBoost,validation,2023-08-01,3285.298088370389,3093.922944434431,-191.37514393595802,191.37514393595802
main_extended,0.9,XGBoost,validation,2023-09-01,3165.6950946229263,2867.4277924257462,-298.26730219718,298.26730219718
main_extended,0.9,XGBoost,validation,2023-10-01,3106.0797227489625,2462.173595130853,-643.9061276181096,643.9061276181096
main_extended,0.9,XGBoost,validation,2023-11-01,2552.899381848526,2475.4166564829675,-77.48272536555851,77.48272536555851
main_extended,0.9,XGBoost,validation,2023-12-01,2705.0564354111907,2173.743418150521,-531.3130172606698,531.3130172606698
autoreg_robustness,0.7,Baseline_AssetMonthSeasonal,test,2024-01-01,2905.603396162826,3502.367173091242,596.7637769284161,596.7637769284161
autoreg_robustness,0.7,Baseline_AssetMonthSeasonal,test,2024-02-01,2675.615670243126,3016.701953822133,341.08628357900716,341.08628357900716
autoreg_robustness,0.7,Baseline_AssetMonthSeasonal,test,2024-03-01,2751.51547248978,3374.6628657878905,623.1473932981103,623.1473932981103
autoreg_robustness,0.7,Baseline_AssetMonthSeasonal,test,2024-04-01,3121.186594608051,2813.045931259357,-308.14066334869403,308.14066334869403
autoreg_robustness,0.7,Baseline_AssetMonthSeasonal,test,2024-05-01,3154.449616272154,3248.146048551342,93.69643227918823,93.69643227918823
autoreg_robustness,0.7,Baseline_AssetMonthSeasonal,test,2024-06-01,3363.6135513955096,2934.378525034484,-429.2350263610256,429.2350263610256
autoreg_robustness,0.7,Baseline_AssetMonthSeasonal,test,2024-07-01,3546.0632104373576,3581.0096399450035,34.94642950764592,34.94642950764592
autoreg_robustness,0.7,Baseline_AssetMonthSeasonal,test,2024-08-01,3589.641944146939,3205.4189365094053,-384.22300763753356,384.22300763753356
autoreg_robustness,0.7,Baseline_AssetMonthSeasonal,test,2024-09-01,3360.821764552597,3316.9953146548514,-43.82644989774553,43.82644989774553
autoreg_robustness,0.7,Baseline_AssetMonthSeasonal,test,2024-10-01,3314.175920748757,3759.5155573348197,445.3396365860626,445.3396365860626
